OrderDetailKey,OrderHeaderKey,CustomerKey,ProductKey,FacilityKey,TransactionDate,BillDate,,,,
108,662,3,207,5,8/16/2021,4/21/2024,,,,
109,636,16,734,2,8/16/2021,3/25/2024,,,,
110,127,6,298,5,8/16/2021,10/31/2022,,,,
111,127,15,610,10,8/16/2021,10/31/2022,,,,
112,32,12,199,4,8/16/2021,7/28/2022,,,,
113,306,20,113,4,8/16/2021,4/30/2023,,,,
114,81,18,537,8,8/16/2021,9/15/2022,,,,
115,636,2,678,7,8/27/2021,3/25/2024,,,,
116,146,10,401,2,8/31/2021,11/19/2022,,,,
117,88,7,226,6,8/31/2021,9/22/2022,,,,
118,277,5,839,6,9/6/2021,3/31/2023,,,,
119,170,7,48,8,9/6/2021,12/13/2022,,,,
120,327,4,321,2,9/6/2021,5/21/2023,,,,
121,28,6,98,7,9/8/2021,7/24/2022,,,,
122,180,10,802,4,9/20/2021,12/23/2022,,,,
123,180,2,791,10,9/22/2021,12/23/2022,,,,
124,183,11,860,7,9/24/2021,12/26/2022,,,,
125,66,17,518,10,10/7/2021,8/31/2022,,,,
126,489,12,241,4,10/7/2021,10/30/2023,,,,
127,454,13,34,2,10/7/2021,9/25/2023,,,,
128,29,9,663,9,10/7/2021,7/25/2022,,,,
129,29,8,329,5,10/8/2021,7/25/2022,,,,
130,113,2,246,9,10/8/2021,10/17/2022,,,,
131,129,6,445,9,10/8/2021,11/2/2022,,,,
132,77,20,588,1,10/11/2021,9/11/2022,,,,
133,26,16,461,7,10/11/2021,7/22/2022,,,,
134,69,11,292,10,10/11/2021,9/3/2022,,,,
135,31,8,230,8,10/15/2021,7/27/2022,,,,
136,18,19,83,1,10/20/2021,7/14/2022,,,,
137,55,10,544,9,10/25/2021,8/20/2022,,,,
138,8,17,738,8,10/28/2021,7/4/2022,,,,
139,96,15,625,3,10/29/2021,9/30/2022,,,,
140,258,20,262,5,11/2/2021,3/12/2023,,,,
141,172,4,877,2,11/2/2021,12/15/2022,,,,
142,247,5,423,5,11/3/2021,3/1/2023,,,,
143,40,2,11,7,11/9/2021,8/5/2022,,,,
144,131,8,805,4,11/9/2021,11/4/2022,,,,
145,111,20,952,8,11/10/2021,10/15/2022,,,,
146,178,15,140,4,11/10/2021,12/21/2022,,,,
147,170,8,612,9,11/11/2021,12/13/2022,,,,
148,265,3,206,1,11/11/2021,3/19/2023,,,,
149,5,1,365,8,11/11/2021,7/1/2022,,,,
150,32,9,154,8,11/11/2021,7/28/2022,,,,
151,32,5,608,8,11/11/2021,7/28/2022,,,,
152,33,19,704,1,11/18/2021,7/29/2022,,,,
153,11,2,506,7,11/18/2021,7/7/2022,,,,
154,14,1,13,5,11/21/2021,7/10/2022,,,,
155,73,17,54,9,11/21/2021,9/7/2022,,,,
156,277,20,3,7,11/22/2021,3/31/2023,,,,
157,551,9,514,8,11/22/2021,12/31/2023,,,,
158,636,3,64,8,11/22/2021,3/25/2024,,,,
159,671,12,306,10,11/22/2021,4/30/2024,,,,
160,551,16,792,9,11/22/2021,12/31/2023,,,,
161,163,8,107,4,11/22/2021,12/6/2022,,,,
162,103,8,868,10,11/22/2021,10/7/2022,,,,
163,147,12,849,5,11/22/2021,11/20/2022,,,,
164,103,10,958,10,11/22/2021,10/7/2022,,,,
165,223,3,785,10,11/22/2021,2/4/2023,,,,
166,106,10,766,6,11/23/2021,10/10/2022,,,,
167,68,1,610,8,11/23/2021,9/2/2022,,,,
168,81,6,594,4,11/23/2021,9/15/2022,,,,
169,166,19,221,4,11/23/2021,12/9/2022,,,,
170,30,5,30,9,11/23/2021,7/26/2022,,,,
171,129,16,65,10,11/23/2021,11/2/2022,,,,
172,114,14,472,10,11/23/2021,10/18/2022,,,,
173,114,16,185,8,11/23/2021,10/18/2022,,,,
174,156,13,958,4,11/23/2021,11/29/2022,,,,
175,156,5,187,3,11/23/2021,11/29/2022,,,,
176,75,17,354,1,11/26/2021,9/9/2022,,,,
177,15,14,209,5,11/26/2021,7/11/2022,,,,
178,172,14,429,5,11/26/2021,12/15/2022,,,,
179,32,16,17,1,11/28/2021,7/28/2022,,,,
180,67,15,699,2,11/28/2021,9/1/2022,,,,
181,163,15,691,7,11/29/2021,12/6/2022,,,,
182,163,20,291,9,11/29/2021,12/6/2022,,,,
183,175,8,977,8,12/1/2021,12/18/2022,,,,
184,266,8,987,4,12/1/2021,3/20/2023,,,,
185,113,18,707,8,12/1/2021,10/17/2022,,,,
186,331,14,83,5,12/1/2021,5/25/2023,,,,
187,292,10,568,7,12/1/2021,4/15/2023,,,,
188,97,8,133,1,12/1/2021,10/1/2022,,,,
189,61,11,752,10,12/1/2021,8/26/2022,,,,
190,175,10,541,4,12/1/2021,12/18/2022,,,,
191,791,1,625,4,12/1/2021,8/31/2024,,,,
192,127,19,432,1,12/1/2021,10/31/2022,,,,
193,75,15,740,1,12/1/2021,9/9/2022,,,,
194,68,3,322,8,12/1/2021,9/2/2022,,,,
195,121,5,238,2,12/1/2021,10/25/2022,,,,
196,121,7,378,10,12/1/2021,10/25/2022,,,,
197,19,20,46,3,12/1/2021,7/15/2022,,,,
198,94,7,954,7,12/3/2021,9/28/2022,,,,
199,337,17,769,1,12/5/2021,5/31/2023,,,,
200,341,9,386,5,12/5/2021,6/4/2023,,,,
201,413,13,144,6,12/5/2021,8/15/2023,,,,
202,116,5,929,6,12/5/2021,10/20/2022,,,,
203,273,4,703,6,12/5/2021,3/27/2023,,,,
204,200,3,619,3,12/6/2021,1/12/2023,,,,
205,185,2,617,2,12/7/2021,12/28/2022,,,,
206,158,16,901,7,12/7/2021,12/1/2022,,,,
207,93,19,455,4,12/7/2021,9/27/2022,,,,
208,62,13,926,7,12/7/2021,8/27/2022,,,,
209,96,16,619,1,12/7/2021,9/30/2022,,,,
210,59,2,302,6,12/7/2021,8/24/2022,,,,
211,44,2,838,1,12/7/2021,8/9/2022,,,,
212,172,16,988,10,12/12/2021,12/15/2022,,,,
213,114,7,732,6,12/15/2021,10/18/2022,,,,
214,141,19,874,1,12/16/2021,11/14/2022,,,,
215,113,15,184,6,12/16/2021,10/17/2022,,,,
216,243,8,631,9,12/16/2021,2/25/2023,,,,
217,172,2,899,7,12/16/2021,12/15/2022,,,,
218,153,15,819,1,12/17/2021,11/26/2022,,,,
219,53,16,854,9,12/20/2021,8/18/2022,,,,
220,48,15,188,3,12/22/2021,8/13/2022,,,,
221,5,17,781,3,12/23/2021,7/1/2022,,,,
222,330,4,150,5,12/23/2021,5/24/2023,,,,
223,27,2,697,8,12/24/2021,7/23/2022,,,,
224,36,18,295,9,1/5/2022,8/1/2022,,,,
225,50,13,905,1,1/6/2022,8/15/2022,,,,
226,9,10,591,1,1/7/2022,7/5/2022,,,,
227,25,13,109,7,1/7/2022,7/21/2022,,,,
228,36,14,602,10,1/10/2022,8/1/2022,,,,
229,35,19,195,4,1/11/2022,7/31/2022,,,,
230,96,15,332,8,1/12/2022,9/30/2022,,,,
231,140,3,102,6,1/12/2022,11/13/2022,,,,
232,49,15,887,10,1/12/2022,8/14/2022,,,,
233,18,7,47,2,1/12/2022,7/14/2022,,,,
234,177,1,747,4,1/12/2022,12/20/2022,,,,
235,108,16,369,9,1/12/2022,10/12/2022,,,,
236,147,1,715,1,1/12/2022,11/20/2022,,,,
237,55,1,547,10,1/12/2022,8/20/2022,,,,
238,53,1,509,4,1/12/2022,8/18/2022,,,,
239,50,16,727,4,1/12/2022,8/15/2022,,,,
240,164,11,377,9,1/12/2022,12/7/2022,,,,
241,104,2,957,9,1/12/2022,10/8/2022,,,,
242,134,8,506,4,1/12/2022,11/7/2022,,,,
243,68,15,623,1,1/12/2022,9/2/2022,,,,
244,153,17,232,3,1/16/2022,11/26/2022,,,,
245,123,1,728,1,1/16/2022,10/27/2022,,,,
246,475,1,745,1,1/16/2022,10/16/2023,,,,
247,213,2,126,7,1/16/2022,1/25/2023,,,,
248,52,14,56,8,1/17/2022,8/17/2022,,,,
249,169,8,344,6,1/18/2022,12/12/2022,,,,
250,5,16,346,6,1/18/2022,7/1/2022,,,,
251,30,17,481,8,1/18/2022,7/26/2022,,,,
252,218,2,761,5,1/18/2022,1/30/2023,,,,
253,172,12,174,2,1/19/2022,12/15/2022,,,,
254,170,12,235,1,1/19/2022,12/13/2022,,,,
255,29,11,980,6,1/19/2022,7/25/2022,,,,
256,32,2,238,5,1/19/2022,7/28/2022,,,,
257,35,2,192,5,1/19/2022,7/31/2022,,,,
258,131,14,353,3,1/24/2022,11/4/2022,,,,
259,81,10,865,8,1/27/2022,9/15/2022,,,,
260,100,6,272,10,1/27/2022,10/4/2022,,,,
261,30,17,416,10,1/28/2022,7/26/2022,,,,
262,26,15,525,2,1/28/2022,7/22/2022,,,,
263,86,9,870,7,1/28/2022,9/20/2022,,,,
264,20,20,78,7,1/28/2022,7/16/2022,,,,
265,19,7,278,9,1/28/2022,7/15/2022,,,,
266,91,1,359,1,1/28/2022,9/25/2022,,,,
267,22,11,365,6,1/28/2022,7/18/2022,,,,
268,270,17,939,7,1/28/2022,3/24/2023,,,,
269,429,9,199,8,1/28/2022,8/31/2023,,,,
270,18,19,6,9,1/28/2022,7/14/2022,,,,
271,422,18,421,9,1/28/2022,8/24/2023,,,,
272,414,5,452,2,1/28/2022,8/16/2023,,,,
273,190,13,396,4,1/28/2022,1/2/2023,,,,
274,190,6,117,2,1/28/2022,1/2/2023,,,,
275,266,20,929,2,1/28/2022,3/20/2023,,,,
276,17,6,353,9,1/28/2022,7/13/2022,,,,
277,120,19,96,1,1/28/2022,10/24/2022,,,,
278,60,13,584,9,1/28/2022,8/25/2022,,,,
279,90,13,682,9,1/28/2022,9/24/2022,,,,
280,110,3,613,1,1/28/2022,10/14/2022,,,,
281,30,18,648,8,1/28/2022,7/26/2022,,,,
282,90,2,713,3,1/28/2022,9/24/2022,,,,
283,120,4,851,5,1/28/2022,10/24/2022,,,,
284,155,14,3,3,1/28/2022,11/28/2022,,,,
285,122,12,133,5,1/28/2022,10/26/2022,,,,
286,432,15,898,3,1/28/2022,9/3/2023,,,,
287,148,14,758,2,1/28/2022,11/21/2022,,,,
288,266,19,485,6,1/28/2022,3/20/2023,,,,
289,137,13,92,10,1/28/2022,11/10/2022,,,,
290,87,11,477,3,1/28/2022,9/21/2022,,,,
291,51,10,271,6,1/28/2022,8/16/2022,,,,
292,134,11,561,2,1/28/2022,11/7/2022,,,,
293,8,13,719,8,1/28/2022,7/4/2022,,,,
294,90,3,53,6,1/28/2022,9/24/2022,,,,
295,120,20,334,3,1/28/2022,10/24/2022,,,,
296,96,16,39,8,1/28/2022,9/30/2022,,,,
297,80,12,363,4,1/28/2022,9/14/2022,,,,
298,72,14,306,2,1/29/2022,9/6/2022,,,,
299,58,10,946,5,1/29/2022,8/23/2022,,,,
300,490,7,676,7,1/31/2022,10/31/2023,,,,
301,40,20,444,2,1/31/2022,8/5/2022,,,,
302,46,9,246,6,1/31/2022,8/11/2022,,,,
303,152,16,697,7,1/31/2022,11/25/2022,,,,
304,33,16,537,5,1/31/2022,7/29/2022,,,,
305,114,4,271,6,1/31/2022,10/18/2022,,,,
306,47,16,560,6,1/31/2022,8/12/2022,,,,
307,462,6,240,4,2/2/2022,10/3/2023,,,,
308,334,20,581,3,2/2/2022,5/28/2023,,,,
309,821,1,413,7,2/2/2022,9/30/2024,,,,
310,153,20,846,10,2/2/2022,11/26/2022,,,,
311,348,13,236,6,2/2/2022,6/11/2023,,,,
312,123,9,647,4,2/2/2022,10/27/2022,,,,
313,334,15,155,8,2/2/2022,5/28/2023,,,,
314,45,6,330,2,2/2/2022,8/10/2022,,,,
315,92,9,600,1,2/2/2022,9/26/2022,,,,
316,160,3,91,8,2/2/2022,12/3/2022,,,,
317,159,7,708,3,2/2/2022,12/2/2022,,,,
318,162,20,107,7,2/2/2022,12/5/2022,,,,
319,159,17,642,9,2/2/2022,12/2/2022,,,,
320,97,12,332,4,2/4/2022,10/1/2022,,,,
321,7,15,550,5,2/4/2022,7/3/2022,,,,
322,7,16,622,9,2/4/2022,7/3/2022,,,,
323,144,5,276,1,2/4/2022,11/17/2022,,,,
324,97,3,992,8,2/4/2022,10/1/2022,,,,
325,183,7,107,5,2/4/2022,12/26/2022,,,,
326,7,13,651,3,2/4/2022,7/3/2022,,,,
327,36,13,274,4,2/4/2022,8/1/2022,,,,
328,158,3,207,3,2/4/2022,12/1/2022,,,,
329,97,3,740,3,2/4/2022,10/1/2022,,,,
330,101,4,954,2,2/4/2022,10/5/2022,,,,
331,97,10,982,8,2/4/2022,10/1/2022,,,,
332,107,6,414,3,2/4/2022,10/11/2022,,,,
333,37,1,12,8,2/4/2022,8/2/2022,,,,
334,92,12,563,9,2/4/2022,9/26/2022,,,,
335,115,11,941,9,2/4/2022,10/19/2022,,,,
336,37,20,267,9,2/4/2022,8/2/2022,,,,
337,148,6,297,6,2/4/2022,11/21/2022,,,,
338,148,2,126,4,2/4/2022,11/21/2022,,,,
339,67,1,598,2,2/4/2022,9/1/2022,,,,
340,148,4,234,10,2/7/2022,11/21/2022,,,,
341,117,1,558,8,2/7/2022,10/21/2022,,,,
342,117,6,658,7,2/7/2022,10/21/2022,,,,
343,169,10,112,8,2/7/2022,12/12/2022,,,,
344,191,16,486,5,2/7/2022,1/3/2023,,,,
345,58,11,888,1,2/7/2022,8/23/2022,,,,
346,157,4,665,3,2/7/2022,11/30/2022,,,,
347,147,3,36,6,2/7/2022,11/20/2022,,,,
348,305,18,800,5,2/7/2022,4/28/2023,,,,
349,174,4,283,1,2/7/2022,12/17/2022,,,,
350,220,17,102,6,2/7/2022,2/1/2023,,,,
351,61,15,677,1,2/7/2022,8/26/2022,,,,
352,243,16,440,8,2/7/2022,2/25/2023,,,,
353,78,16,392,4,2/7/2022,9/12/2022,,,,
354,36,16,263,6,2/7/2022,8/1/2022,,,,
355,162,12,346,4,2/7/2022,12/5/2022,,,,
356,169,5,843,7,2/7/2022,12/12/2022,,,,
357,49,19,149,10,2/7/2022,8/14/2022,,,,
358,44,8,791,3,2/7/2022,8/9/2022,,,,
359,40,1,194,10,2/8/2022,8/5/2022,,,,
360,78,17,527,2,2/8/2022,9/12/2022,,,,
361,65,1,384,7,2/8/2022,8/30/2022,,,,
362,155,20,909,2,2/8/2022,11/28/2022,,,,
363,57,6,882,8,2/8/2022,8/22/2022,,,,
364,183,14,766,9,2/8/2022,12/26/2022,,,,
365,218,2,18,1,2/8/2022,1/30/2023,,,,
366,57,18,989,2,2/8/2022,8/22/2022,,,,
367,141,16,207,8,2/8/2022,11/14/2022,,,,
368,101,16,542,9,2/8/2022,10/5/2022,,,,
369,169,12,630,2,2/8/2022,12/12/2022,,,,
370,170,18,298,1,2/8/2022,12/13/2022,,,,
371,22,1,337,5,2/8/2022,7/18/2022,,,,
372,71,18,741,7,2/8/2022,9/5/2022,,,,
373,138,2,789,4,2/8/2022,11/11/2022,,,,
374,160,3,107,7,2/8/2022,12/3/2022,,,,
375,100,20,405,6,2/8/2022,10/4/2022,,,,
376,29,17,595,10,2/8/2022,7/25/2022,,,,
377,100,2,528,8,2/8/2022,10/4/2022,,,,
378,169,4,934,4,2/8/2022,12/12/2022,,,,
379,169,14,134,5,2/8/2022,12/12/2022,,,,
380,161,13,642,3,2/8/2022,12/4/2022,,,,
381,79,17,373,3,2/8/2022,9/13/2022,,,,
382,41,9,554,5,2/8/2022,8/6/2022,,,,
383,202,19,537,8,2/8/2022,1/14/2023,,,,
384,41,2,66,2,2/8/2022,8/6/2022,,,,
385,101,4,160,2,2/8/2022,10/5/2022,,,,
386,41,16,485,2,2/8/2022,8/6/2022,,,,
387,41,13,416,4,2/8/2022,8/6/2022,,,,
388,294,12,216,8,2/8/2022,4/17/2023,,,,
389,161,8,473,6,2/8/2022,12/4/2022,,,,
390,101,4,950,9,2/8/2022,10/5/2022,,,,
391,101,1,897,4,2/8/2022,10/5/2022,,,,
392,8,4,48,3,2/8/2022,7/4/2022,,,,
393,33,12,52,1,2/8/2022,7/29/2022,,,,
394,97,5,264,3,2/8/2022,10/1/2022,,,,
395,41,20,410,10,2/8/2022,8/6/2022,,,,
396,6,3,817,9,2/8/2022,7/2/2022,,,,
397,41,12,226,2,2/8/2022,8/6/2022,,,,
398,41,18,202,8,2/8/2022,8/6/2022,,,,
399,81,12,148,5,2/8/2022,9/15/2022,,,,
400,170,8,658,5,2/8/2022,12/13/2022,,,,
401,191,17,733,9,2/8/2022,1/3/2023,,,,
402,191,18,258,2,2/8/2022,1/3/2023,,,,
403,246,16,465,4,2/8/2022,2/28/2023,,,,
404,49,18,114,2,2/8/2022,8/14/2022,,,,
405,65,11,62,3,2/8/2022,8/30/2022,,,,
406,66,15,337,9,2/8/2022,8/31/2022,,,,
407,50,2,867,7,2/8/2022,8/15/2022,,,,
408,42,20,819,6,2/8/2022,8/7/2022,,,,
409,89,2,161,1,2/8/2022,9/23/2022,,,,
410,89,12,516,9,2/8/2022,9/23/2022,,,,
411,317,6,757,7,2/8/2022,5/11/2023,,,,
412,26,9,726,6,2/8/2022,7/22/2022,,,,
413,84,17,552,2,2/8/2022,9/18/2022,,,,
414,36,19,219,6,2/8/2022,8/1/2022,,,,
415,42,2,930,8,2/8/2022,8/7/2022,,,,
416,159,10,292,5,2/8/2022,12/2/2022,,,,
417,21,7,294,9,2/8/2022,7/17/2022,,,,
418,31,2,722,6,2/8/2022,7/27/2022,,,,
419,39,15,281,9,2/8/2022,8/4/2022,,,,
420,21,13,834,7,2/8/2022,7/17/2022,,,,
421,82,5,590,9,2/8/2022,9/16/2022,,,,
422,132,3,123,1,2/8/2022,11/5/2022,,,,
423,376,2,781,6,2/8/2022,7/9/2023,,,,
424,29,13,349,3,2/8/2022,7/25/2022,,,,
425,83,9,195,3,2/8/2022,9/17/2022,,,,
426,182,19,716,10,2/8/2022,12/25/2022,,,,
427,362,14,220,6,2/8/2022,6/25/2023,,,,
428,91,19,414,8,2/8/2022,9/25/2022,,,,
429,102,20,77,9,2/8/2022,10/6/2022,,,,
430,132,15,488,5,2/8/2022,11/5/2022,,,,
431,113,1,209,1,2/8/2022,10/17/2022,,,,
432,8,19,277,7,2/8/2022,7/4/2022,,,,
433,8,14,328,1,2/8/2022,7/4/2022,,,,
434,8,15,776,9,2/8/2022,7/4/2022,,,,
435,8,17,744,1,2/8/2022,7/4/2022,,,,
436,94,3,793,4,2/8/2022,9/28/2022,,,,
437,117,17,383,3,2/8/2022,10/21/2022,,,,
438,72,2,442,8,2/8/2022,9/6/2022,,,,
439,50,1,150,9,2/8/2022,8/15/2022,,,,
440,101,19,567,7,2/8/2022,10/5/2022,,,,
441,51,20,994,4,2/8/2022,8/16/2022,,,,
442,53,12,486,6,2/8/2022,8/18/2022,,,,
443,663,13,233,8,2/8/2022,4/22/2024,,,,
444,601,10,456,3,2/8/2022,2/19/2024,,,,
445,124,7,810,5,2/8/2022,10/28/2022,,,,
446,519,2,168,7,2/8/2022,11/29/2023,,,,
447,121,10,449,5,2/8/2022,10/25/2022,,,,
448,94,12,218,5,2/8/2022,9/28/2022,,,,
449,285,8,415,8,2/9/2022,4/8/2023,,,,
450,102,5,325,2,2/9/2022,10/6/2022,,,,
451,121,12,471,6,2/9/2022,10/25/2022,,,,
452,42,8,331,3,2/9/2022,8/7/2022,,,,
453,102,13,137,6,2/9/2022,10/6/2022,,,,
454,374,20,47,8,2/9/2022,7/7/2023,,,,
455,57,8,521,8,2/9/2022,8/22/2022,,,,
456,72,15,223,6,2/9/2022,9/6/2022,,,,
457,42,15,466,2,2/9/2022,8/7/2022,,,,
458,132,9,972,5,2/9/2022,11/5/2022,,,,
459,42,17,50,9,2/9/2022,8/7/2022,,,,
460,131,3,215,6,2/9/2022,11/4/2022,,,,
461,656,12,457,8,2/9/2022,4/14/2024,,,,
462,85,4,514,1,2/9/2022,9/19/2022,,,,
463,94,8,98,10,2/9/2022,9/28/2022,,,,
464,24,3,99,1,2/9/2022,7/20/2022,,,,
465,34,19,999,10,2/9/2022,7/30/2022,,,,
466,42,3,696,5,2/9/2022,8/7/2022,,,,
467,29,9,299,5,2/9/2022,7/25/2022,,,,
468,132,11,269,6,2/9/2022,11/5/2022,,,,
469,165,20,60,5,2/9/2022,12/8/2022,,,,
470,42,17,840,7,2/9/2022,8/7/2022,,,,
471,42,19,408,6,2/9/2022,8/7/2022,,,,
472,176,12,970,3,2/9/2022,12/19/2022,,,,
473,81,8,234,6,2/9/2022,9/15/2022,,,,
474,117,8,615,2,2/9/2022,10/21/2022,,,,
475,110,6,516,5,2/9/2022,10/14/2022,,,,
476,129,15,351,1,2/9/2022,11/2/2022,,,,
477,169,4,543,4,2/9/2022,12/12/2022,,,,
478,16,20,237,5,2/9/2022,7/12/2022,,,,
479,42,1,882,1,2/9/2022,8/7/2022,,,,
480,24,6,917,9,2/9/2022,7/20/2022,,,,
481,224,7,887,5,2/9/2022,2/5/2023,,,,
482,93,2,574,1,2/10/2022,9/27/2022,,,,
483,148,9,776,4,2/10/2022,11/21/2022,,,,
484,175,8,997,10,2/10/2022,12/18/2022,,,,
485,147,14,35,10,2/10/2022,11/20/2022,,,,
486,173,17,279,7,2/10/2022,12/16/2022,,,,
487,105,14,622,9,2/10/2022,10/9/2022,,,,
488,13,18,935,2,2/10/2022,7/9/2022,,,,
489,42,8,787,1,2/10/2022,8/7/2022,,,,
490,189,8,236,1,2/10/2022,1/1/2023,,,,
491,29,15,845,5,2/10/2022,7/25/2022,,,,
492,821,13,650,5,2/10/2022,9/30/2024,,,,
493,26,12,847,2,2/10/2022,7/22/2022,,,,
494,83,5,191,7,2/10/2022,9/17/2022,,,,
495,133,13,743,8,2/10/2022,11/6/2022,,,,
496,239,10,348,8,2/10/2022,2/20/2023,,,,
