CashKey,OrderDetailsKey,DepositCheck,TransactionDate,CollectionPeriod,PaymentAmount
71,165,DNSCHECK471,8/28/2022,8/6/2022,1657.89
72,2121,DNSCHECK668,12/28/2022,12/4/2022,310.24
73,5627,DNSCHECK742,10/24/2022,10/2/2022,421.89
74,2412,DNSCHECK514,5/25/2024,4/30/2024,1368.35
75,8611,DNSCHECK682,7/3/2023,6/5/2023,1521.92
76,1637,DNSCHECK776,7/23/2023,6/25/2023,1420.58
77,4407,DNSCHECK723,11/26/2022,10/27/2022,889.2
78,5828,DNSCHECK538,1/13/2023,12/23/2022,543.23
79,8510,DNSCHECK657,12/10/2022,11/12/2022,738.55
80,6535,DNSCHECK511,8/31/2022,8/8/2022,694.12
81,3672,DNSCHECK464,12/22/2022,11/26/2022,255.57
82,217,DNSCHECK491,12/26/2022,12/6/2022,1222.1
83,1799,DNSCHECK417,11/26/2022,11/5/2022,549.83
84,3588,DNSCHECK739,6/5/2023,5/8/2023,217.3
85,3460,DNSCHECK537,9/21/2022,8/29/2022,72.78
86,7760,DNSCHECK620,11/12/2022,10/13/2022,719.18
87,1972,DNSCHECK674,11/25/2022,10/27/2022,112.63
88,3107,DNSCHECK668,11/10/2022,10/12/2022,361.54
89,2040,DNSCHECK302,10/16/2023,9/16/2023,1737.29
90,5782,DNSCHECK692,1/24/2023,1/2/2023,339.62
91,5696,DNSCHECK402,3/23/2023,2/22/2023,3.04
92,3911,DNSCHECK769,1/25/2024,1/5/2024,666.54
93,9472,DNSCHECK441,6/29/2024,6/5/2024,488.92
94,4429,DNSCHECK703,7/24/2023,6/27/2023,195.93
95,3920,DNSCHECK592,10/3/2022,9/5/2022,1148.23
96,1798,DNSCHECK427,8/14/2022,7/25/2022,1263.4
97,7458,DNSCHECK305,11/17/2022,10/19/2022,857.09
98,2706,DNSCHECK364,5/5/2024,4/9/2024,83.45
99,7945,DNSCHECK784,8/18/2024,7/23/2024,190.87
100,2820,DNSCHECK332,10/11/2022,9/21/2022,144.38
101,3795,DNSCHECK789,2/12/2023,1/14/2023,497.17
102,9114,DNSCHECK651,1/26/2023,12/29/2022,1073.2
103,6664,DNSCHECK484,11/29/2022,11/3/2022,250.12
104,571,DNSCHECK621,12/5/2022,11/10/2022,638.85
105,3292,DNSCHECK619,2/3/2023,1/9/2023,1374.25
106,8360,DNSCHECK683,11/27/2022,11/5/2022,925.39
107,1852,DNSCHECK420,1/22/2023,12/25/2022,378.12
108,7250,DNSCHECK471,7/2/2024,6/11/2024,732.52
109,3397,DNSCHECK583,4/22/2024,3/31/2024,426.08
110,6665,DNSCHECK376,12/8/2022,11/11/2022,65.41
111,7744,DNSCHECK472,1/26/2023,12/31/2022,684.99
112,8144,DNSCHECK331,10/19/2022,9/19/2022,613.94
113,8495,DNSCHECK574,7/10/2023,6/11/2023,223.54
114,4906,DNSCHECK516,11/4/2022,10/6/2022,1036.27
115,6103,DNSCHECK485,7/8/2024,6/8/2024,557.2
116,1624,DNSCHECK783,1/18/2023,12/25/2022,673.99
117,904,DNSCHECK347,10/10/2022,9/10/2022,1368.29
118,5040,DNSCHECK427,5/22/2023,4/27/2023,25.19
119,3213,DNSCHECK530,3/27/2023,3/3/2023,740.75
120,7135,DNSCHECK448,8/5/2023,7/8/2023,604.48
121,2252,DNSCHECK696,10/27/2022,9/29/2022,76.53
122,1013,DNSCHECK390,1/1/2023,12/11/2022,1255.6
123,2970,DNSCHECK675,12/27/2022,11/30/2022,1038.91
124,804,DNSCHECK668,2/15/2023,1/25/2023,718.73
125,1020,DNSCHECK740,9/3/2022,8/10/2022,40.06
126,5615,DNSCHECK743,2/25/2024,1/26/2024,485.97
127,740,DNSCHECK556,1/1/2024,12/7/2023,203.78
128,1726,DNSCHECK599,10/16/2022,9/20/2022,1449.99
129,1712,DNSCHECK571,8/19/2022,7/23/2022,91.27
130,1773,DNSCHECK468,11/10/2022,10/20/2022,639.11
131,8598,DNSCHECK583,11/17/2022,10/20/2022,770.83
132,3180,DNSCHECK690,12/13/2022,11/21/2022,171.57
133,8006,DNSCHECK321,10/17/2022,9/18/2022,266
134,8191,DNSCHECK512,9/23/2022,8/24/2022,800
135,470,DNSCHECK438,10/27/2022,9/27/2022,1161.08
136,5492,DNSCHECK498,7/26/2022,6/29/2022,226.41
137,8441,DNSCHECK776,11/10/2022,10/14/2022,524.45
138,9654,DNSCHECK638,8/31/2022,8/7/2022,1044.82
139,9616,DNSCHECK498,12/22/2022,11/24/2022,498.99
140,6936,DNSCHECK476,6/11/2023,5/20/2023,1461.25
141,1672,DNSCHECK303,2/26/2023,2/6/2023,1507.49
142,3898,DNSCHECK593,5/6/2023,4/6/2023,75.69
143,7338,DNSCHECK541,10/13/2022,9/13/2022,783.8
144,1539,DNSCHECK380,11/26/2022,10/31/2022,766.36
145,3450,DNSCHECK677,11/8/2022,10/15/2022,589.26
146,3697,DNSCHECK491,4/9/2023,3/15/2023,581.07
147,5613,DNSCHECK745,2/12/2023,1/16/2023,166.31
148,9114,DNSCHECK527,5/23/2023,4/30/2023,19.21
149,6288,DNSCHECK478,7/8/2022,6/16/2022,498.42
150,6612,DNSCHECK595,10/4/2022,9/14/2022,272.04
151,7967,DNSCHECK530,9/5/2022,8/10/2022,1030.04
152,4054,DNSCHECK366,10/8/2022,9/9/2022,306.86
153,6163,DNSCHECK507,7/19/2022,6/19/2022,661.37
154,9697,DNSCHECK351,10/13/2022,9/23/2022,379.07
155,3781,DNSCHECK668,11/7/2022,10/14/2022,266.26
156,7536,DNSCHECK529,4/14/2023,3/17/2023,837.9
157,5362,DNSCHECK422,3/7/2024,2/9/2024,980.02
158,310,DNSCHECK694,7/1/2024,6/11/2024,1665.08
159,8342,DNSCHECK712,5/29/2024,4/29/2024,750.89
160,477,DNSCHECK414,3/18/2024,2/19/2024,1195.63
161,8697,DNSCHECK620,3/10/2023,2/18/2023,45.86
162,186,DNSCHECK753,1/26/2023,1/5/2023,757.55
163,331,DNSCHECK346,2/20/2023,1/23/2023,594
164,6640,DNSCHECK373,12/24/2022,11/29/2022,1007.14
165,5920,DNSCHECK455,3/5/2023,2/7/2023,395.35
166,6656,DNSCHECK557,10/24/2022,10/4/2022,1526.98
167,6126,DNSCHECK486,11/23/2022,11/1/2022,714.58
168,1953,DNSCHECK646,9/21/2022,8/23/2022,14.25
169,8581,DNSCHECK692,12/19/2022,11/26/2022,153.36
170,7248,DNSCHECK744,9/6/2022,8/8/2022,221.17
171,7083,DNSCHECK381,1/30/2023,1/6/2023,1434.85
172,2879,DNSCHECK771,11/13/2022,10/23/2022,207.9
173,8423,DNSCHECK400,12/10/2022,11/17/2022,323.64
174,2248,DNSCHECK578,2/19/2023,1/27/2023,684.13
175,202,DNSCHECK361,3/18/2023,2/18/2023,1279.75
176,1590,DNSCHECK438,10/16/2022,9/20/2022,348.01
177,7135,DNSCHECK518,11/8/2022,10/12/2022,106.08
178,8506,DNSCHECK351,1/29/2023,1/9/2023,273.3
179,6884,DNSCHECK559,11/19/2022,10/23/2022,1216.8
180,8459,DNSCHECK670,11/10/2022,10/12/2022,673.51
181,2265,DNSCHECK790,1/9/2023,12/13/2022,911.25
182,7976,DNSCHECK610,2/4/2023,1/9/2023,656.72
183,8737,DNSCHECK621,3/18/2023,2/16/2023,1085.29
184,2265,DNSCHECK462,4/16/2023,3/21/2023,494.35
185,6830,DNSCHECK403,11/21/2022,11/1/2022,595.48
186,7502,DNSCHECK472,7/29/2023,7/1/2023,327.84
187,7735,DNSCHECK464,4/21/2023,4/1/2023,523.68
188,1618,DNSCHECK400,1/8/2023,12/14/2022,1059.23
189,3743,DNSCHECK579,11/19/2022,10/27/2022,469.43
190,6910,DNSCHECK497,3/21/2023,2/28/2023,528.34
191,6765,DNSCHECK369,9/30/2024,9/7/2024,328.59
192,9306,DNSCHECK774,1/26/2023,1/3/2023,363.85
193,536,DNSCHECK467,11/14/2022,10/20/2022,996.4
194,3969,DNSCHECK532,12/26/2022,12/2/2022,151.02
195,4351,DNSCHECK326,2/8/2023,1/13/2023,533.81
196,9466,DNSCHECK582,1/22/2023,12/29/2022,193.56
197,3257,DNSCHECK363,9/15/2022,8/21/2022,1410.66
198,7395,DNSCHECK778,11/2/2022,10/5/2022,1353.94
199,7294,DNSCHECK354,7/2/2023,6/6/2023,1301.73
200,5970,DNSCHECK500,6/21/2023,5/29/2023,1429.38
201,1356,DNSCHECK640,10/12/2023,9/17/2023,783.14
202,1266,DNSCHECK678,11/18/2022,10/20/2022,22.78
203,2639,DNSCHECK482,5/29/2023,5/4/2023,635.89
204,7499,DNSCHECK452,4/10/2023,3/14/2023,1517.8
205,5650,DNSCHECK333,3/31/2023,3/1/2023,87.07
206,35,DNSCHECK490,12/25/2022,12/1/2022,128.47
207,9658,DNSCHECK472,1/8/2023,12/14/2022,217.46
208,6904,DNSCHECK783,12/2/2022,11/9/2022,1091.77
209,1359,DNSCHECK729,11/25/2022,11/3/2022,495.93
210,7681,DNSCHECK422,10/15/2022,9/21/2022,779.19
211,5917,DNSCHECK424,10/27/2022,10/5/2022,822.32
212,3819,DNSCHECK649,1/10/2023,12/21/2022,1093.71
213,1724,DNSCHECK596,11/27/2022,11/6/2022,1410.23
214,1486,DNSCHECK760,1/19/2023,12/25/2022,616.15
215,1160,DNSCHECK461,10/26/2022,10/5/2022,395.08
216,5074,DNSCHECK697,6/18/2023,5/26/2023,767.9
217,5157,DNSCHECK770,2/6/2023,1/14/2023,175.71
218,5705,DNSCHECK424,3/23/2023,2/27/2023,595.58
219,8938,DNSCHECK487,11/16/2022,10/26/2022,958.84
220,7391,DNSCHECK323,12/4/2022,11/9/2022,637.64
221,9070,DNSCHECK483,7/26/2022,6/26/2022,338.32
222,3179,DNSCHECK518,7/23/2023,6/25/2023,588.39
223,263,DNSCHECK507,8/26/2022,8/1/2022,550.46
224,4873,DNSCHECK335,9/14/2022,8/21/2022,804.47
225,9534,DNSCHECK737,8/27/2022,8/3/2022,242.92
226,257,DNSCHECK500,9/27/2022,9/4/2022,801.69
227,661,DNSCHECK431,8/2/2022,7/4/2022,1610.95
228,8943,DNSCHECK482,11/12/2022,10/19/2022,415.45
229,6101,DNSCHECK379,11/11/2022,10/16/2022,1077.15
230,4675,DNSCHECK351,10/28/2022,9/29/2022,41.86
231,4985,DNSCHECK601,11/16/2022,10/18/2022,1284.73
232,7247,DNSCHECK745,9/7/2022,8/8/2022,1281.74
233,8891,DNSCHECK325,9/9/2022,8/18/2022,1307.85
234,7247,DNSCHECK368,1/26/2023,1/1/2023,670.55
235,6187,DNSCHECK789,11/12/2022,10/14/2022,137.72
236,3702,DNSCHECK486,3/14/2023,2/17/2023,1264.94
237,5260,DNSCHECK304,8/30/2022,8/1/2022,138.23
238,753,DNSCHECK735,9/22/2022,8/30/2022,495.07
239,171,DNSCHECK447,11/18/2022,10/21/2022,908.52
240,7042,DNSCHECK686,3/29/2023,3/3/2023,103.61
241,8517,DNSCHECK766,10/10/2022,9/20/2022,203.83
242,1380,DNSCHECK693,1/20/2023,12/23/2022,1594.43
243,8938,DNSCHECK497,10/18/2022,9/27/2022,771.78
244,3268,DNSCHECK513,2/7/2023,1/17/2023,919.03
245,8427,DNSCHECK317,1/15/2023,12/24/2022,111.71
246,3192,DNSCHECK588,2/9/2024,1/15/2024,633.1
247,4008,DNSCHECK418,4/20/2023,3/27/2023,517.34
248,5769,DNSCHECK394,10/11/2022,9/19/2022,193.75
249,704,DNSCHECK603,12/15/2022,11/16/2022,1036.38
250,6431,DNSCHECK466,7/13/2022,6/13/2022,1169.45
251,2848,DNSCHECK763,8/24/2022,8/4/2022,45.3
252,3083,DNSCHECK383,3/22/2023,3/1/2023,1006.3
253,4258,DNSCHECK368,2/14/2023,1/15/2023,358.92
254,6171,DNSCHECK458,1/16/2023,12/26/2022,514.53
255,2800,DNSCHECK672,8/7/2022,7/10/2022,23.59
256,4990,DNSCHECK585,9/5/2022,8/14/2022,685.25
257,7426,DNSCHECK413,10/24/2022,9/28/2022,462.8
258,4475,DNSCHECK793,11/9/2022,10/19/2022,877.72
259,9527,DNSCHECK314,12/28/2022,12/1/2022,715.83
260,6400,DNSCHECK666,12/20/2022,11/28/2022,28.2
261,122,DNSCHECK651,10/19/2022,9/25/2022,455.77
262,5816,DNSCHECK747,11/1/2022,10/10/2022,1206.83
263,7032,DNSCHECK331,12/29/2022,12/2/2022,306.12
264,4263,DNSCHECK442,8/19/2022,7/20/2022,775.13
265,1764,DNSCHECK624,9/25/2022,9/4/2022,790.04
266,2948,DNSCHECK778,1/3/2023,12/7/2022,941.59
267,5095,DNSCHECK790,11/6/2022,10/7/2022,1168.65
268,7395,DNSCHECK383,4/15/2023,3/25/2023,1396.5
269,8312,DNSCHECK617,9/26/2023,8/30/2023,820.32
270,7862,DNSCHECK532,7/28/2022,7/6/2022,724.63
271,4616,DNSCHECK800,9/13/2023,8/23/2023,538.29
272,8657,DNSCHECK364,10/5/2023,9/6/2023,416.8
273,3189,DNSCHECK449,1/7/2023,12/12/2022,1167.94
274,5894,DNSCHECK760,1/18/2023,12/21/2022,360.88
275,6037,DNSCHECK567,3/22/2023,2/26/2023,41.75
276,4049,DNSCHECK588,7/29/2022,7/8/2022,725.91
277,5484,DNSCHECK700,1/20/2023,12/24/2022,195.97
278,5317,DNSCHECK667,12/18/2022,11/25/2022,976.61
279,599,DNSCHECK418,1/16/2023,12/25/2022,172.92
280,97,DNSCHECK507,11/3/2022,10/14/2022,260.51
281,6323,DNSCHECK397,10/27/2022,10/5/2022,1307.55
282,6781,DNSCHECK415,10/20/2022,9/21/2022,464.05
283,2071,DNSCHECK571,11/5/2022,10/12/2022,454.57
284,5704,DNSCHECK317,1/25/2023,1/3/2023,652.89
285,2179,DNSCHECK476,12/24/2022,12/2/2022,1084.08
286,3440,DNSCHECK798,11/29/2023,11/8/2023,501.21
287,9386,DNSCHECK672,1/9/2023,12/13/2022,1199.97
288,6286,DNSCHECK398,5/29/2023,4/30/2023,197.05
289,6963,DNSCHECK698,1/23/2023,1/1/2023,53.23
290,9315,DNSCHECK573,1/10/2023,12/18/2022,115.93
291,6817,DNSCHECK797,9/1/2022,8/10/2022,403.44
292,8688,DNSCHECK496,12/3/2022,11/13/2022,268.64
293,543,DNSCHECK420,9/6/2022,8/14/2022,474.25
294,7294,DNSCHECK513,12/9/2022,11/17/2022,264.92
295,8860,DNSCHECK453,2/8/2023,1/14/2023,207.85
296,6787,DNSCHECK667,12/19/2022,11/21/2022,1015.8
297,2260,DNSCHECK425,9/27/2022,9/4/2022,591.74
298,9644,DNSCHECK310,12/6/2022,11/8/2022,726.3
299,3088,DNSCHECK481,11/7/2022,10/11/2022,1246.62
300,9176,DNSCHECK675,11/14/2023,10/19/2023,606.48
301,1570,DNSCHECK560,11/14/2022,10/16/2022,20.58
302,8811,DNSCHECK784,11/27/2022,11/7/2022,653.13
303,4020,DNSCHECK309,12/25/2022,11/30/2022,1021.57
304,9300,DNSCHECK710,8/11/2022,7/20/2022,893.24
305,9089,DNSCHECK697,11/27/2022,11/6/2022,1014.74
306,4857,DNSCHECK769,10/3/2022,9/12/2022,826.26
307,3725,DNSCHECK453,11/22/2023,10/24/2023,336.35
308,7658,DNSCHECK747,6/6/2023,5/17/2023,1028.96
309,3942,DNSCHECK530,11/19/2024,10/29/2024,165.79
310,8596,DNSCHECK447,1/24/2023,1/4/2023,669.49
311,15,DNSCHECK591,7/23/2023,7/3/2023,497.76
312,4843,DNSCHECK752,12/29/2022,12/4/2022,337.06
313,585,DNSCHECK359,9/1/2023,8/8/2023,214.66
314,89,DNSCHECK590,8/13/2022,7/24/2022,1916.68
315,1888,DNSCHECK579,11/16/2022,10/17/2022,420.34
316,2070,DNSCHECK413,3/3/2023,2/7/2023,1343.37
317,8760,DNSCHECK354,3/31/2023,3/3/2023,98.89
318,3588,DNSCHECK583,12/15/2022,11/21/2022,34.66
319,5209,DNSCHECK376,3/27/2023,3/6/2023,226.84
320,3344,DNSCHECK508,12/13/2022,11/18/2022,26.81
321,3409,DNSCHECK622,9/11/2022,8/12/2022,1356.1
322,3162,DNSCHECK721,9/4/2022,8/12/2022,1578.3
323,446,DNSCHECK431,12/19/2022,11/28/2022,1059.01
324,6710,DNSCHECK435,1/5/2023,12/11/2022,682.28
325,6416,DNSCHECK775,2/25/2023,2/3/2023,79.66
326,5064,DNSCHECK664,8/23/2022,7/27/2022,542.07
327,1413,DNSCHECK596,10/31/2022,10/1/2022,127.5
328,8101,DNSCHECK338,12/4/2022,11/6/2022,643.54
329,94,DNSCHECK515,1/1/2023,12/3/2022,635.91
330,8430,DNSCHECK562,11/14/2022,10/22/2022,690.72
331,4354,DNSCHECK707,11/12/2022,10/19/2022,340.59
332,717,DNSCHECK539,1/20/2023,12/25/2022,1203.26
333,7820,DNSCHECK629,10/16/2022,9/26/2022,333.26
334,3209,DNSCHECK745,1/22/2023,12/31/2022,396.41
335,6997,DNSCHECK386,1/4/2023,12/13/2022,155.83
336,2972,DNSCHECK311,8/16/2022,7/24/2022,270.33
337,2483,DNSCHECK719,12/6/2022,11/7/2022,794.95
338,5088,DNSCHECK454,2/17/2023,1/24/2023,683.69
339,1707,DNSCHECK599,9/16/2022,8/19/2022,123.41
340,2989,DNSCHECK446,1/16/2023,12/20/2022,135.26
341,2148,DNSCHECK751,2/4/2023,1/10/2023,877.98
342,3676,DNSCHECK529,2/14/2023,1/23/2023,150.94
343,9197,DNSCHECK453,1/17/2023,12/27/2022,430.2
344,5121,DNSCHECK453,4/16/2023,3/20/2023,83.99
345,5138,DNSCHECK719,10/9/2022,9/10/2022,1126.21
346,849,DNSCHECK721,1/1/2023,12/11/2022,607.39
347,5552,DNSCHECK412,12/29/2022,12/7/2022,677.69
348,8444,DNSCHECK643,7/29/2023,6/30/2023,435.71
349,5677,DNSCHECK300,3/3/2023,2/6/2023,13.35
350,80,DNSCHECK510,2/6/2023,1/13/2023,1107.31
351,2243,DNSCHECK666,12/15/2022,11/21/2022,199.77
352,9494,DNSCHECK501,4/8/2023,3/11/2023,268.93
353,6311,DNSCHECK713,11/5/2022,10/7/2022,226.16
354,5519,DNSCHECK452,9/16/2022,8/19/2022,656.62
355,6943,DNSCHECK334,12/7/2022,11/14/2022,455.47
356,2832,DNSCHECK710,1/25/2023,12/28/2022,364.32
357,4477,DNSCHECK596,10/29/2022,10/1/2022,297.7
358,2917,DNSCHECK429,11/4/2022,10/10/2022,1411.53
359,7772,DNSCHECK503,9/3/2022,8/8/2022,428.37
360,4754,DNSCHECK489,12/5/2022,11/10/2022,186.87
361,7235,DNSCHECK381,10/22/2022,9/28/2022,1104.89
362,5631,DNSCHECK746,1/18/2023,12/24/2022,156.3
363,8681,DNSCHECK302,12/19/2022,11/26/2022,944.92
364,5334,DNSCHECK430,12/29/2022,12/4/2022,1176.99
365,5019,DNSCHECK470,3/26/2023,2/24/2023,684.52
366,5029,DNSCHECK745,11/1/2022,10/9/2022,393.98
367,4856,DNSCHECK338,12/18/2022,11/23/2022,859.73
368,8905,DNSCHECK646,10/17/2022,9/25/2022,141.65
369,4423,DNSCHECK481,1/31/2023,1/8/2023,629.18
370,1904,DNSCHECK798,1/6/2023,12/10/2022,64.42
371,5791,DNSCHECK558,9/25/2022,9/1/2022,165.63
372,4256,DNSCHECK560,11/13/2022,10/17/2022,494.93
373,5745,DNSCHECK433,12/30/2022,12/2/2022,731.72
374,4110,DNSCHECK515,1/28/2023,12/31/2022,64.01
375,7405,DNSCHECK687,1/1/2023,12/11/2022,400.72
376,1752,DNSCHECK663,8/11/2022,7/17/2022,595.35
377,8462,DNSCHECK414,1/11/2023,12/20/2022,193.29
378,5111,DNSCHECK362,3/5/2023,2/3/2023,364.84
379,8248,DNSCHECK694,4/7/2023,3/8/2023,1003.66
380,8655,DNSCHECK475,4/1/2023,3/3/2023,275.47
381,5989,DNSCHECK776,1/9/2023,12/10/2022,218.18
382,3140,DNSCHECK320,8/29/2022,8/3/2022,1256.04
383,4945,DNSCHECK607,3/30/2023,3/6/2023,886.13
384,5241,DNSCHECK536,9/22/2022,8/24/2022,890.32
385,1356,DNSCHECK658,11/30/2022,11/1/2022,426.83
386,6077,DNSCHECK365,11/26/2022,11/4/2022,249.98
387,279,DNSCHECK639,8/20/2022,7/29/2022,310.35
388,826,DNSCHECK718,8/9/2023,7/14/2023,527.69
389,2415,DNSCHECK596,12/20/2022,11/29/2022,723.67
390,1096,DNSCHECK772,12/15/2022,11/20/2022,1661.7
391,727,DNSCHECK409,11/3/2022,10/14/2022,467.92
392,2008,DNSCHECK454,7/23/2022,6/24/2022,471.65
393,7413,DNSCHECK800,9/6/2022,8/8/2022,1015.08
394,4368,DNSCHECK727,12/15/2022,11/25/2022,216.66
395,3796,DNSCHECK320,10/10/2022,9/19/2022,657.89
396,7324,DNSCHECK558,9/6/2022,8/14/2022,1731.09
397,5924,DNSCHECK403,11/17/2022,10/22/2022,1429.07
398,2185,DNSCHECK706,11/5/2022,10/13/2022,235.47
399,9526,DNSCHECK373,11/20/2022,10/21/2022,109.92
400,5278,DNSCHECK688,1/18/2023,12/24/2022,197.98
401,8666,DNSCHECK341,2/27/2023,1/28/2023,135.46
402,4397,DNSCHECK759,2/25/2023,2/1/2023,834.75
403,3140,DNSCHECK488,4/6/2023,3/17/2023,827.1
404,2640,DNSCHECK579,8/23/2022,7/27/2022,1691.38
405,3800,DNSCHECK327,10/30/2022,10/5/2022,967.84
406,3369,DNSCHECK573,9/2/2022,8/12/2022,414.3
407,4460,DNSCHECK451,10/9/2022,9/10/2022,886.02
408,7848,DNSCHECK410,9/6/2022,8/8/2022,222.71
409,5345,DNSCHECK466,1/18/2023,12/22/2022,613.54
410,2476,DNSCHECK338,12/4/2022,11/10/2022,124.25
411,5285,DNSCHECK776,8/7/2023,7/8/2023,579.04
412,667,DNSCHECK572,10/7/2022,9/11/2022,833.87
413,3986,DNSCHECK771,12/27/2022,12/2/2022,582.23
414,6184,DNSCHECK552,8/11/2022,7/17/2022,108.54
415,4318,DNSCHECK612,8/22/2022,8/2/2022,1472.03
416,8777,DNSCHECK715,4/1/2023,3/10/2023,915.72
417,1046,DNSCHECK320,10/3/2022,9/13/2022,194.17
418,609,DNSCHECK302,8/19/2022,7/24/2022,1001.14
419,3252,DNSCHECK687,10/5/2022,9/10/2022,374.17
420,1725,DNSCHECK519,9/17/2022,8/20/2022,147.1
421,7585,DNSCHECK464,10/13/2022,9/18/2022,489.15
422,8787,DNSCHECK627,12/26/2022,12/2/2022,1135.44
423,3825,DNSCHECK773,10/8/2023,9/14/2023,161.9
424,6739,DNSCHECK731,8/23/2022,7/29/2022,406.09
425,814,DNSCHECK417,1/13/2023,12/14/2022,396.51
426,2676,DNSCHECK347,1/14/2023,12/19/2022,568.65
427,6898,DNSCHECK555,9/1/2023,8/2/2023,840.7
428,5082,DNSCHECK532,1/5/2023,12/16/2022,1334.96
429,7151,DNSCHECK546,11/17/2022,10/25/2022,45.99
430,1727,DNSCHECK659,1/11/2023,12/20/2022,519.34
431,4271,DNSCHECK626,11/5/2022,10/12/2022,54.16
432,3039,DNSCHECK419,8/7/2022,7/18/2022,1327.32
433,8772,DNSCHECK415,9/7/2022,8/16/2022,1192.22
